Contact Person,Designation,Organization
 Alan Sindhu Dinsha,Managing Director & CEO,Innodots Innovations Pvt Ltd
 Prakash Adabala,CEO,Innoit Labs Private Limited
 BHAUTIK PIPALIYA,BHAUTIK PIPALIYA,INNOVATE DREAM REALLY PRIVATE LIMITED
 SRISHTI SHARMA,SRISHTI SHARMA,Innovationsatss PVT Ltd
 Sri Kumar,Managing Director,Innovus Hub Private Limited
 Shashank Shukla,Co-founder,INNOWHIZ ELECTRIC TECHNOLOGIES PRIVATE LIMITED
 Mithun Anand,Co-founder and CTO,Innpact Solutions
 Hitesh Goyal,Founder,Inoresp Industries Private Limited
 Rohan Tripathi,Director,Inovocare Healthsoft Solutions Pvt. Ltd.
 NIKITA NATH,HEAD OF INVESTOR RELATIONS AND COUNSELING,INSIGHTE CHILDCARE PRIVATE LIMITED
 Samyak Shah,Managing Director,Instaclaus Fintech Private Limited
 Raji M,Co-Founder & CEO,InstaFinancials
 Deepanshu Goel,Director,Installco Wify Technology Pvt Ltd
 Jahnavi ROY,jahnavi ROY,INSUBUILD SOLUTIONS PRIVATE LIMITED
 SONIA MADAN,FOUNDER & DIRECTOR,INTE-E-LABS PRIVATE LIMITED
 Daisy Nguyen,A Business Development Representative - South & West India,INTECH Group
 Gaurav Tyagi,Gaurav Tyagi,Integerspin Private Limited
 Anuj Goyal,cofounder and CTO,Intellicloud Solutions Private Limited
 SOUMYA TRIPATHI,CFO,Intellinez Systems Pvt Ltd
 Bhutesh Niroula,Co-founder & CEO,Interioverse Design Pvt Ltd
 Piyush Pandey,Founder & CTO,InternNexus
 Varun Marothia,CEO,Intrvuz
 Akshay Aggarwal,Founder,INTUTE-AI technologies (OPC) Pvt ltd
 Yogesh Mathur,CEO,InventreeFY Solutions Pvt. Ltd
 JAINENDRA JAIN,DIRECTOR,INVIGORATE BIOTECHNOLOGIES LLP
 Vikrant Panwar,General Manager,INVIGORATE BIOTECHNOLOGIES LLP (Start up Punjab)
 Manya Mahawer,Director,iota craft pvt Ltd
 Vikram Singh,Vikram Singh,iotina technologies pvt ltd
 SUCHIN JAIN,SUCHIN JAIN,iPanelKlean Solar Private Limited
 Vikram Belkhode,Director and CEO IRA Medical technology pvt. Ltd,IRA MEDICAL TECHNOLOGY PRIVATE LIMITED
 Nikhil Saini,Nikhil Saini,Iris Aerial Innovations Pvt Ltd
 Eobin George,CEO,Is Going Online
 Laxmi Preeti Gaddam,Co Founder & CEO,Isaayu Agritech Pvt Ltd
 Vaibhav Pathak,Chief Technology Officer,iTDAY
 Chetan Wagh,Co-founder - CEO & CDO,iTechSeed India Growth Ventures Pvt. Ltd.
 Shalendra B Sinha,Founder & Director,ITX Care Private Limited
 Jyotsana Saini,Director,iWebro codeworld pvt ltd
 Shraddha Agarwal,CEO,Izzki Tech Solutions Pvt. Ltd.
 Vishal Pachaar,Director,JAGDEV ORGANICS PVT LTD
 Jitendra Luniya,Partner,Jainam Software LLP
 PUNEET MOHAN,PUNEET MOHAN,JAISHREE RAM MOBILITY AND TECHNOLOGIES PVT LTD
 Navya Mistry,Youth Research,Jalchakra Innovations LLP
 Rajat Sharma,Advisor,Jalmay Innovative O2 Solution Pvt Ltd
 Asif Khair,Asif Khair,Jan Elaaj Wellness Pvt Ltd
 Pankaj Sarda,Founder Partner,JEEVANSARTHI ECOSYSTEM ORCHESTRATORS & MENTORS LLP
 A R Manikandan,Founder,JIETHS AGRO
 SUMAN JHA,CEO,Jilo Health (Jilocosmos Healthrevolution Pvt Ltd)
 Isha Oswal,CEO,JISA Softech Private Limited
 Jitesh Khandelwal,jitesh khandelwal,jitesh khandelwal
 Dharitri Patnaik,Founder and Managing Director,Jivada Ventures Pvt Ltd
 Jiyaulhaq Haq,Founder,JIYAXO G TECHNO PVT.LTD
 Rudhi Arora,Marketing & Investor Relations Manager,JJ Fintax Solutions Private Limited
 Jaideep Kohli,Jaideep Kohli,JK SKINS & SHOES SOLUTIONS PVT LTD
 Gurpreet Singh Batra,Director,JKB Fitness Pvt Ltd
 Yogesh Patel,CFO,JLSR WELLNESS PRIVATE LIMITED
 Atul Pratap Singh,Co-Founder,Jobsgaar Technologies Pvt. Ltd.
 Aman Goyal,Founder & CTO,jobSphere Tech
 Joyce Ahuja,CEO and Founder,Joyce Creative Studios private limited
 Bharat Khetan,Co-Founder,Joyful Life Private Limited
 Aakriti Chaudhary,Co-Founder & COO,Just Learn (Just Rojgar Solutions Pvt. Ltd.)
 Sharadchandra Lohokare,CEO,JyoSH AI Solutions Pvt. Ltd.
 Solomon Chant,Remote Sensing Manager,Kahuto Investments Pte Ltd
 Deepak Kumar,Deepak Kumar,Kailash upchar private limited
 Kailashnath GV,Managing Director,Kailashnath GV
 Tanishq Upmanu,CEO and Founder,Kaizel Industries
 Kajal Rajbhar,CEO,Kajal Rajbhar
 Astha Manroa,Director,Kala-kul Eco International Private Limited
 Charanjit Singh,Director,Kalra Inno Tech Pvt Ltd
 YASH FOUNDER/CEO,FOUNDER/CEO,Kalrascape.we PVT LTD
 Rebeka Nongrum,Founder,Kamailang Weaver
 NKM Tech Solutions,NKM Tech Solutions,Kamal Tripathi
 Amit Kumar,operation,Kamti Technologies Private Limited
 Kangkon Saikia,Director,Kangkon Saikia
 Nishtha Shukla,Founder,Kannauj Itra Private limited
 Nishant Agarwal,Founder & CEO,Kapeefit Health Brand Private Limited
 TARAKESWARI POLAKI,FOUNDER & DIRECTOR,KAPITI OVERSEAS PRIVATE LIMITED
 Udit Agarwal,CEO,Kaptune Media India Private Limited - TrackOlap
 Nitimaan Mathur,Nitimaan Mathur,Kapxha Dynamics
 Suresh J,Chief Technology Officer,Kariot Solutions Private Limited
 Anil chand Panda,CEO/Director,Kaviz Creations Pvt ltd
 ARJUN BAJWA,Founder & CTO,KBCols Sciences Pvt. Ltd.
 Keralina Marak,Founder,Keralina
 Sitaram Komaragiri,Co Founder,Khadyam Speciality Foods Private Limited
 Ritvik Yadav,Founder,Khageshvara Aviation Technology Private Limited
 Ritvik Yadav,Founder & CEO,Khageshvara Aviation Technology Pvt.Ltd
 Satya Mehta,CEO,Khanepe Hungermall LLP
 Shashwat Awasthi,Business Development Head,Kheoni Ventures Pvt. Ltd
 Sujan Karki,Logistics Assistant,Khetipati Organics
 Gautam Dhakad,Director,Khushi Agro Private Limited
 Dheeraj Kumar,Dheeraj Kumar,Kidochef
 Kavita Negi,CEO,KIMALAYA NATURALS PRIVATE LIMITED
 VAISHALI PURI,DIRECTOR,KISAANSAY AGTECH PRIVATE LIMITED
 Chhotu Kumar,Director,Kisantech ERP Solutions PVT LTD
 Amit Manore,Chief Executive Officer,KIT Intellect Technologies Private limited
 Sandeep Kondaji,CEO,KLONEC AUTOMATION SYSTEMS PRIVATE LIMITED
 Kunal Kabra,Founder and CEO,KLOSUREQUEST TECHNOLOGIES PRIVATE LIMITED
 Vinay Kumar Kolusu,CEO,KLVIN Technology Labs Private Limited
 Rajib Chakraborty,Board member,KMN Environmental Impact Pvt Ltd
 Harsh Jain,CEO,Knitnexus Tech Private Limited
 Varun Chintha,CEO,Kode Blue Technologies
 Sai Krishna Reddy Gudimetla,Cofounder,Kofuku Idea Labs Private Limited
 Ankita Singh,Lead AI Agent Store,Kogo AI
 Harsh Mehta,Co-Founder,KOKOPO Foods
 PALANISAMY Shanmugan,Shanmugan,Konform Equipments private Limited
 Rajeshwar Dhavala,COO,Konkuwan Herbs
 DEEPMALA KUMARI,DEEPMALA KUMARI,KONNICHIWA POLY PVT LTD
 Shreyansh Chauhan,Shreyansh Chauhan,Kosher Organics Private LImited
 Ramesh Kotyada,Founder,KOTTEE CYCLES PRIVATE LIMITED
 Pratik Loya,CEO,Kraya Concepts Private Limited
 Siddharth Panda,CEO,Kre38 Labs
 Amiya Mishra,Founder,KRENG EDUCATION PVT LTD
 Himanshu Gupta,COO & Co -Founder,Kreo
 DEEPANSHU DANGRE,FOUNDER CEO,KRIP SCHOOL PRIVATE LIMITIED
 Krishna Priya Akella,Founder,Krisattva Private Limited
 Krishna Bhadra,Founder,Krishna Bhadra
 Suresh Vijay,suresh vijay,Krishna Padam IT Solutions Private Limited
 Jitendra Sharma,Jitendra Sharma,Krisoriginals private limited
 Namrata Jayant VORA,Namrata Jayant VORA,Krushal Open Commerce
 Hitesh Kaneriya,Founder,Kuberjee Tech Pvt Ltd
 KULDEEP PATEL,CEO,KULDEEP PATEL
 Adwait Dash,Founder,KULYA RETAIL Private Limited
 Akhil K,CEO & Founder,Kuppismart Solutions Pvt Ltd
 DENNIS ONKANGI,Founder & CEO,KUZA COOLERS LIMITED
 Gowri Shankar Kandasamy,Founder & CEO,Kyoshi Innovations Pvt Ltd
 Arjun KyroSonics,Founder & CEO,KyroSonics
 Rajasekaran .,Partner,Ladi Handicrafts Pvt Ltd
 Bhanu Slathia,CEO,Ladybird Web Solution Pvt Ltd
 Rishi Ranjan Kumar,Rishi Ranjan,Ladyfair
 Jenyfa Suiam,Founder,Laichaphrang Handicraft
 Abhijeet Devre,CEO & Founder,Lambert Technovation Private Limited
 Laxmi Pandrala,Laxmi Pandrala,Lami Health
 Embhah Rymbai,IVCS Member,Lamlynti Border Farm Society
 Karthik Annamalai,Founder,Lansub Technologies Pvt Ltd
 RAGHURAMA LAKSHMIKANTH,FOUNDER AND DIRECTOR,LAPA ELECTRIC PRIVATE LIMITED
 Manpreet Kaur,Marketing Executive,Larkai Healthcare
 SANJAY SINGH,SANJAY SINGH,LASA INFRA PROJECTS PRIVATE LIMITED
 Harsh Panwar,Director,LawSeek
 Nirmalya Nanda,Operations Manager,LeadCloud
 Harshit Garg,CEO,Leap10x
 Tejaswini Allikanti,Tejaswini Allikanti,Learnmigo AI
 Saif Ahmad Khan,Saif ahmad khan,LEDSAK TECHNOLOGIES PRIVATE LIMITED
 VARUN AGARWAL,DIRECTOR,LEGAL LOCK JOURNALS LLP
 Priyanka Wadhera,Co-Founder,Legal Suvidha Providers LLP
 KUMAR PARAS,Founder,LEMONLORDS
 Namratha RK,Head of International Business Development,LEVO.AI INDIA PRIVATE LIMITED
 Aurobinda Panda,Managing Partner,Lex Protector LLP
 Shantam Sharma,Consultant,LEX RIKAI CONSULTANTS PRIVATE LIMITED
 Shailesh Jaiswal,Shailesh Jaiswal,LiaPlus AI
 Amey Desai,CEO Lifespark Technologies,Lifespark Technologies Private Limited
 Deepak Kothawade,CEO,Lightwheels Enterpeises Pvt Ltd
 VIVEK GUPTA,FOUNDER,LINKINGHUTS TECHNOLOGIES PRIVATE LIMITED
 Sarjerao Doltade,CTO,LiqSure Systems Private Limited
 Amit Singh,CEO,Lisners
 Pooja Pandey,Director,listenersonly4u
 Shailendra Pathak,"Founder, CEO",Live Right Fit LLP
 Chaitsi Ahuja,Director,LIVING BROWN PRIVATE LIMITED
 Mohammed Hussain Shariff S,Co-Founder & Director,Livvolta Healthcare Innovations Private Limited
 Rahul Verma,Director,LM INNOVATION PRIVATE LIMITED
 Pallav Parekh,CEO,LNK ASIA TECHNOCRAFT PVT LTD
 Vikram Jain,Founder,Logic Clutch Software LLP
 Amit Singh,Amit Singh,Logicboots Private Limited
 Shubhi Srivastava,Director,LogiqueCode LLP
 Ritabrata Ghosh,Manager,LogisticsNow Private Limited
 DEVENDRA PARMAR,Founder & CEO,Loop Robotics Technologies LLP
 Ananta Ananta,Ananta Ananta,LOQAL AI VENTURES PRIVATE LIMITED
 Abhit Bhatnagar,Founder,Louie Freddie Pets LLP
 Sanchit Singhal,Director,Lubon Infra Chem Private Limited
 Mahender Manral,Founder,Luneblaze
 Suraj Kumar,Suraj Kumar,LUXLIGHTING TECHNOLOGY PRIVATE LIMITED
 Mallika Mishra,Dr Mallika,LUXOVA
 Kanta Shelar,Manager,Lxme Money Pvt ltd
 Shivani Somani,CEO,Lyke Exports
 Sandeep Thata,Sandeep Thata,Lync (Organikness Pvt Ltd)
 KARTIK Gaggar,Kartik Gaggar,M/s Slo Mo Experiences Private Limited
 Isha Gupta,Isha Gupta,MaaMitahara Private Limited
 Smaranika Mohapatra,Managing Director,Maavni Services Pvt Ltd
 Rubita Magar,Co-founder / CBDO,Mach Twenty Four Orbitals Pvt. Ltd.
 Mrunmai Joshi,Co Founder,Machajo Private Limited (Taali Toys)
 Divya Siddharth Munot,Director,Machau Bamboo Products Private Limited
 AAFRIN SHAIKH,FOUNDER & DIRECTOR,MACHINERY POINT PRIVATE LIMITED
 Ambadi Kannan M.S,Director,Machli Tech P Ltd
 Pradeep Rout,Founder,Machphy Solutions
 Neha jain DIRECTOR,DIRECTOR,MACHSCAPE INNOVATIONS PRIVATE LIMITED
 Prakhar Agarwal,Co-Founder & Director,Macrogardens Pvt Ltd
 Aditya Kukar,CoFounder,Magik Touch Concepts Pvt Ltd
 Swati Maini,Director,Maini Renewables Pvt Ltd
 Pritesh Vanzara,Sr. Business Development Executive,MakerInMe Technologies Private Limited
 Rajmohan Nagendran,Rajmohan Nagendran,Mamakart Toys
 Priyanka Patel,Assistant Manager,Manupatra
 Alpna Gupta,Director,Mapic Foods Private Limited (Startup Punjab)
 Arshdeep Singh Bedi,Aircraft Design and Analysis Engineer,Maraal Aerospace Pvt. Ltd.
 SUNG YEOP HA,CEO,MarinaChain
 Akhlaq Aghwani,CEO,Mariner Aquaculture Private Limited
 TARUN SINGHAL,CEO,MARINGLE PRIVATE LIMITED
 Kunal Uniyal,Kunal Narayan Uniyal,Maritech Integrated Maritime Private Limited
 Dhruv Srivastava,CEO and Director,Marketrics Technologies Pvt Ltd
 Pradipta Vaskar Mukherjee,CEO,Maverick Drones And Technologies Pvt Ltd
 Aibanylla Dohling,IVCS Member,"Mawrah Rangtmah IVCS, Laitkroh block"
 Mandar Patil,Mandar Patil,Mayban Mobility Solutions Pvt. Ltd.
 Ravi Piplani,Ravi Piplani,Mayvionai Intelligence Private Limited
 Maharsh Shah,Maharsh Shah,MealPe Online Food Ordering POS Private Limited
 Gokul Karat,CEO,Mechinex Automation Pvt. Ltd.
 SAKSHAM MISHRA,CEO,MECHPHY AWE ROBOTICS (OPC) PVT LTD
 Priyaranjan Tiwari,CEO,Medantrik Medtech Pvt ltd
 CHETHAN RAJU,DIRECTOR,MEDASUS HEALTHCARE PVT LTD
 Jitesh Pandey,Jitesh Pandey,Medblue Innovations Pvt Ltd
 Malleshwari Director,Director,Medevice Innovations Pvt Ltd
 Inder Kumar Gupta,Inder Kumar Gupta,Medic Tech Private Limited
 Kalpesh Tarsariya,Founder & CEO,Medionce Solutions Pvt Ltd (Healcard)
 Shakila Kulasekaran,Director,Medline Robotics Private Limited
 Vamshi Krishna Mannuri,Founder,Medscore ( PCRA Technologies Pvt Ltd )
 Sandeep Chaudhary,CEO,Medtime Healthcare Pvt Ltd
 Evanshika Sirohi,Founder's Office,Medulance
 Ritvik Vipra,Co-Founder,MEDVOLT TECH PRIVATE LIMITED
 VISHESH KASLIWAL,FOUNCER/ CEO,MEDYSEVA TECHNOLOGIES PVT LTD
 Sonali Tatke,Co-Founder,Meerkats.World
 D Kundana Sai,Founder,MEFU-X
 Shubhra Hanjabam,Founding Director,Meira Foods
 Sarang Deshpande,Founder,Meiro Mobility Private Limited
 Sahil Upadhyay,C.E.O,Mellow Fox Studios
 Naveen Surya,Naveen Kumar Surya,Memandis
 UMANG RASTOGI,CEO and FOUNDER,MENTIMEET SOLUTIONS PRIVATE LIMITED
 Pallavi Shrivastava,Director,Merakii BrandPro Pvt Ltd
 Chitra Bhagat,Founder,Merch Story
 Hrishikesh Vedantam,Co-Founder,Meridian Data Labs Private Limited
 Roopansh Sharma,Merosa Technologies Private Limited,Merosa Technologies Private Limited
 Prapun Illapani,Founder & CEO,Metaintrospec Innovators Pvt Ltd
 Amit Siddhartha,Founder and CEO,Metapercept Technology Services LLP
 Amit Verma,CEO,METASAGA Private Limited
 Mehreen Sheikh,Managing Director,METASPACE TECHNOLOGIES PRIVATE LIMITED
 Chandravadan Raut,Director,MetaStation
 Anup Tarafdar,CEO,Metaverse Expo Private Limited
 Sriram Rajagopalan,Managing Director,Mettlesemi Systems & Technologies Pvt Ltd
 Neeraj Bagi,Founder and CEO,Meukron Technologies Pvt Ltd
 Karthickumar P,Associate Software Engineer,Meyi Cloud Solutions Private Limited
 Mayank Goel,Founder,Mfarm Ventures Private Limited
 RSVN Sharma,FOUNDER & CEO,MHITR
 Nandakumar Kamesh,Sales Manager,Mibot Ventures India Private Limited
 Shashank Mishra,Shashank Mishra,MicroHeal
 Nitish K R,Founder & CEO,Microleer Biopolymers LLP
 Abdul Arif,Director,Microwatt Energy Systems Private Limited
 Deepak Baghel,Deepak Baghel,MIELO FOOD PRODUCTS PRIVATE LIMITED
 Mannu Jee,Founder,Milkvilla Private Limited
 MINI K,Director,Milletology
 David Bennett,CEO,Mimic Productions
 Imran Noorani,Founder,MIND MEADOW
 RAKESH DANDU,DIRECTOR,Mindcraft Edtech OPC Pvt. Ltd.
 Shubham Jalewa,CEO,Mindlink Platform Private Limited
 Ehsaas Gakhar,Entrepreneur In Residence,MindPeers India
 Sukriti Dhingra,Founder and CEO,Mindpsy Psychological Services Pvt Ltd
 Indranil Nath,CEO & CoFounder,Mindtrot Technologies Private Limited
 Rahul Kumar,Founder,Minus Degre Manufacturers Pvt. Ltd
 Maithreye Murali,Founder,Miracle Me
 RIHAS MUHAMMED R,FOUNDER,MIRACLE SPICES
 DEVANSH SHARMA,MANAGING DIRECTOR,Mirana Innovations Pvt Ltd
 Sabir Hossain,Cofounder,Miraqules MedSolutions Pvt Ltd
 RICKEY DALBEHERA,MANAGING DIRECTOR,MIRO LABS PRIVATE LIMITED
 PANKAJ THAPA,PANKAJ THAPA,Mirror Security
 DEEPAK KUMAR,Deepak Kumar,MISTAA GREEN
 Ashwin V. Jain,Chief Technological Officer (CTO),Mitt Arv Technologies Pvt. Ltd.
 Jigar Mehta,Director,MND Technologies Private Limited (MyNextDeveloper)
 Dinesh Advani,Director & Founder,MOBILIZAR TECHNOLOGIES PRIVATE LIMITED
 RAJESH KUMAR PAL,FOUNDER,MOBISEC TECHNOLOGIES PRIVATE LIMITED
 Sudipta Saha,Co-Founder & CEO,MOBZWAY TECHNOLOGIES LLP
 SIVAPRASAD P V,Founder&CEO,MODERN CONCEPTS AND SOLUTIONS LLP
 JAI CHAUHAN,FOUNDER,MODERNAYURVEDA PRIVATE LIMITED
 Ravi Agrawal,Co Founder,MODOBENECURA PRIVATE LIMITED
 Manish Paul,CEO,Moe puppy
 Simarpreet Singh,Simarpreet Singh,Mohi Lifestile Solutions Private Limited
 Anupama Chapagai Chettri,Co founder,Mokawaii
 Kumar Vaibhav,Ceo and Founder,Momshome Pvt Ltd
 Nehal Babariya,Director,monak e-services Private Limited
 Devaraj Gowdanar,CEO,Moneyverse Pte Ltd
 MONIKA KUMARI,FOUNDER,Monika Kumari
 JOUNG HUN YOUM,CEO,Monnit Korea
 Abhinav Nayar,CEO,mool.ai
 Milan Bhatnagar,Head - Technology Development Office,Morphedo Technologies Private Limited
 Dharmik Sai,Dharmik Sai,Morphing Machines Private Limited
 MD GULFARAZ,Director,MOSO INTERNAL PRIVATE LIMITED
 Tarun Budhrani,CEO,Motionmatics Private Limited
 Abhinav Verma,Director,Motozite
 Jai Bharathi A,Founder & CEO,Mowo Fleet ( brand under JSS Mobility Innovations Pvt Ltd
 Divya Raju,Project Assistant,MSLV4 Endurance Private Limited
 Aditi Garg,CEO,MTS Travel Tech Private Limited
 Abhay Gupta,Founder and CEO,Muditam Ayurveda Private Limited
 MEHULKUMAR PANCHOLI,CO-FOUNDER,Multifly Lifestyle Private Limited
 Shambhavi Jaiswal,Founder/Director,Mulyo Clothing Pvt Ltd
 Pullagura Sreenivasulu,Founder & MD,MUSAFIBRAL
 PRAVEEN CHIRANIA,DESIGNATED PARTNER/ CEO/ FOUNDER,MUSCLE AND STRENGTH INDIA LLP
 Binayak Dewan,Unit Head,MUSHROOMAG PRIVATE LIMITED
 Himanshu Dua,Founder,My Pahadi Dukan
 Ajay Kumar,"Founder, CEO",MYeKIGAI Profound Private Limited
 Anirudh Sharma,CEO & Co -Founder,MyEra Technologies Private Limited
 Siddharth Gupta,Founder & CEO,Myna Hemp Store Private Limited
 Sooraj M Serawat,Founder and Director,Myotech V -HAB LLP
 Nidhi Mehra,Nidhi Mehra,Myplan8 - KRNY Innovations Private Limited
 Yedhu Krishnan Babu,Senior Full Stack Develoepr,NA
 Kajal Shrivastava,Kajal Shrivastava,NadiPulse Prognostics Pvt Ltd
 Rishabh Nag,Founder,Nag & Nag Consultants Pvt Ltd(Humanli AI)
 Saurabh Sharma,Founder,Namus Beverages private limited
 Rajnikant Sinha,Events Sales and Marketing Head,Nandi Panchgavya
 Umadevi S,Co Founder and COO,NANOQUEST
 Naman Barot,Founder,Nanospin Technologies LLP
 Naresh Parlapalli,Managing Director,Naresh Parlapalli
 Bhavik Kothari,CEO,Narqubis games Private Limited
 Ripul Sharma,Director / Co -founder,Natureovedic Consumers Private Limited
 Sateesh Kemburu,Sateesh Kumar Kemburu,Natures Box Pvt ltd
 NITIN SHROTRI,NITIN VIVEK SHROTRI,NatureTech SimpleInventions Private Limited
 Nagachethan S M,CEO,Navanc Data Sciences Pvt Ltd
 Sisir Chandra Jonna,CEO & Co -founder,Navariti Innovation Private Limited
 Vivek Narain,Founder,Navirego
 Abhishek Sahgal,Abhishek Sahgal,Navork Innovations Private Limited
 Pravin Awatade,CEO,NavyBlue Resources Integration & Solutions Pvt Ltd
 Abhilash Maurya,Abhilash Maurya,Naxatra Labs Private Limited
 Naman Bishnoi,Founder & CEO,NCRYPTO LABS PRIVATE LIMITED
 Neha A Bansal,Neha A Bansal,Neba Consumer Pvt. Ltd.
 Pravash Dey,Director,Nebulex Def -Tech Foundation
 Anshuman Goswami,Founder & CEO,NECRAFTERS ENTERPRISE LLP
 Yagyesh .,Director,NEECOP Consultants Private Limited
 Mohit Gulati,CTO,Neeno Edutech
 Anant Kapur,Managing Director,Neer Shakti Systems Private Limited
 Akhil Raj Pottekkat,673601,NEIOX ECO CYCLE PRIVATE LIMITED
 Anupam Banerjee,Director,Neo Risers Pvt. Ltd.
 Bharani Dheeraj,Bharani Dheeraj,Nerds and Geeks Pvt Ltd
 FEROZ MOHAN MALIK,CEO,Net Zero Beverages Pvt Ltd
 Aditya Reddy,Aditya Reddy,Netplay Sports Private Limited
 Kumar Doshi,CEO,Netpret Solutions Pvt Ltd
 Shamil Khan,Co-Founder & Chief Business Officer,Neur Industries Private Limited
 Anand Ravi,Anand Ravi,NEURAPIE
 Aviral Dwivedi,CTO,NeuraSim Pvt Ltd
 Aarti Thukral,Partner,Neuriot Technologies LLP
 Garvit Kothari,CEO/CO-Founder,Neurobridge Tech Private Limited
 Arvind Nair,CEO,NeuroPixel
 Abhimanyu Detha,Company partner in India,Neurosputnik LLC
 Arnab Bhattacharya,Vice President Impact Division,Neurosynaptic Communications Private Limited
 Naresh Kumar,Founder,Nevar Systems Private Limited
 Krishna Sharma,director,NEW GEN FOOD TECH PVT LTD
 Ashwin Shastry,AVP- Alliances & Partnerships,NewSpace Research & Technologies
 Ram Sharma,Director & Chairman,Newzera Tech Labs Pvt Ltd
 Musharraf Abdullah,Director,Nexcope Private Limited
 SURAJ VITTAL RAO MEIYUR,SURAJ VITTAL RAO MEIYUR,Next Skills 360 EdTech Private Limited
 Prerna Farmaha,Digital marketing Executive,Next XR India
 Khushvant Chahar,Director,NextDoor Dukan
 Alvin Anthony,CEO,NEXTLEAP AERONAUTICS PRIVATE LIMITED
 Athul Abraham,Senior Manager,Nextmeta Labs Private Limited
 Kirat Singh,Founder and Director,Nextup Robotics Private limited
 Gourangon Gogoi,Director and CMO,NGN Treemate Private Limited
 Peihauding Peihauding,Co- Founder and CEO,Ngurie Organic Private Limited
 Aeroshil Nameirakpam,Co-Founder/CEO,Nibiaa Devices Pvt.Ltd.
 Yash Mittal,Founder,Nicola Tech
 Nidhi Nidhi,Nidhi Nidhi,NIDHI
 Niharika Talwar,CEO,Niharika Talwar Enterprises LLP
 Arjun Pawar,CEO,Nikol Automotive Pvt Ltd
 Manav Kothari,CEO,NioPractice
 KETAN THAKKAR,MANAGING DIRECTOR,NIPPONPLY INDUSTRIES PVT LTD
 Vicky Nanda,Chief Operating Officer,Niramai Health Analytix
 Geetha Manjunath,CEO and MD,NIRAMAI Health Analytix Private Limited
 Prashant Gore,Founder & CEO,Nirbhi Techno LLP
 NILIMA ROY CHOWDHURY,Founder,NIRVANA NILIMA WELLNESS
 Nisha Niranjan,Nisha Niranjan,Nisha niranjan
 Vishesh Kingrani,Vishesh Kingrani,NIT Raipur Foundation For Innovation & Entrepreneurship
 Yogesh Gawande,Founder & CEO,NIYO FARMTECH PRIVATE LIMITED
 Karishma Bande,Marketing Manager,Noccarc Robotics Private Limited
 Adabre Frank,CEO,NorthLite Solar Ltd
 Nishitchandra Shah,Co-founder,notops software private limied
 Shashwat Raj,Director,NovosEdge Private Limited
 Priya Pathak,Event Manager,Nspire Automation Pvt. Ltd.
 Kalpna Varshney,Founder &CEO,nutbeez
 Vishwajeet Kumar,CEO,NUTRI TRIBE (ORIGINS TRIBES PVT. LTD.)
 Sona Mishra,Managing Director,NutriLeafz Innovations Pvt Ltd
 Smriti Chaudhry,Founder & CEO,NUVO
 Mandira Chettri,Founder,O2 Himalaya Pvt. Ltd.
 Ashish Ranjan,Ashish Ranjan,OCB CAKES PRIVATE LIMITED
 Saloni Godbole Tewari,"Ceo, founder",Occamy Bioscience Private Limited
 Gaurav Raghav,Gaurav Raghav,OCEANLUX CCU TECHNOLOGIES PRIVATE LIMITED
 Siddhesh Gosavi,CEO and CO Founder,Octarange Technologies Pvt Ltd
 Nitin Namdeo,CEO,OCTOMEN TECHNOLOGY PRIVATE LIMITED
 Himanshu Harsh,Director,Octopyder Services Private Limited
 Devendra Yadav,Founder,OEX Tech Solutions Pvt Ltd
 Rajeev Singh,Rajeev Singh,Ojay tech Private Limited
 Sarika Sawhney,Partner,Olitia Cares LLP
 Robin Thomas,CEO,Oliveiot Innovations Pvt Ltd
 Sahil Gulati,Ashirwad Complex,OM GAYATRI TRANSTECH PVT LTD
 Karl Frederick IV Kesner,CEO,OMG! CRAZY -FAST
 Beena PS,Beena PS,OMICSGEN LIFESCIENCES PVT LTD
 Parth Joshi,Scientist,OmniBRx Biotechnologies Pvt. Ltd.
 Piyush Beli,Director,Omnistack innovation Private Limited
 Rakesh Kumar,DIRECTOR,Omrook Industries Pvt Ltd
 RAVINDRA RAJ BM,Managing Director,Omspace Rocket and Exploration Pvt Ltd
 Nitin Shukla,Founder,OMTV
 Prerna Harchandani,Manager- Partnership & Alliance,One Stack Solution Private Limited
 Sumit Goswami,Sumit Goswami,OneArvo Ventures Private Limited
 Karthik Kumar,Karthik,OneClickSupport Pvt Ltd
 Deepesh Rajpal,Deepesh Rajpal,OneDose.AI
 Ankush Tiwari,Director,Oniber Software Private Limited
 Akhilesh Rajput,COO,Onnway Solutions Private Limited
 Ayushi Rungta,CEO,OpenOffers
 Pulak Rijhwani,Founder & CEO,Opsight AI Private Limited
 Anton Isac Kunnel,Anton Isac Kunnel,ORBISLIVES VIRTUALCLINIC
 Raunak Kumar,City Business Head,Orchard Healthcare Pvt Ltd
 Shubhang Agrawal,Director,Organi Gully Hal Private Limited
 Kshitiz Srivastava,Co-founder and CEO,Organicsirji Private Limited
 Anthony Brand,Anthony Brand,"Organisation of African, Caribbean and Pacific States (OACPS)"
 Vishwajeet Kumar,CEO,ORIGINS TRIBES PVT. LTD.
 Rima Pandey,Rima Pandey,Orish J Bioworks Pvt Ltd
 NIDHI GOVIL,Founder,orive organics OPC pvt ltd
 Muthumanigandan Duraibabu,Muthumanigandan,Orzu Tech LLP
